idf_rank,term,idf,doc_freq,doc_freq%
228,potatoes onion,6.804240255183073,2094,1.5
229,unsweetened_applesauce,6.794783919941037,398,0.29
230,sunflower_seeds,6.792433742596083,792,0.57
231,dill,6.790089075636829,335,0.24
232,taco_seasoning_mix,6.790089075636829,456,0.33
233,pepperoni,6.7877498932836575,3085,2.21
234,cajun_seasoning,6.785416169937437,341,0.24
235,garlic olive_oil,6.785416169937437,341,0.24
236,sugar milk,6.785416169937437,804,0.58
237,lemon_peel,6.783087880177846,345,0.25
238,egg_noodles,6.783087880177846,703,0.5
239,penne_pasta,6.778447500621343,2239,1.6
240,eggs water,6.778447500621343,320,0.23
241,large_shrimp,6.776135360862964,646,0.46
242,vanilla_extract all,6.776135360862964,1764,1.26
243,hamburger_buns,6.77152705777677,326,0.23
244,light_soy_sauce,6.76923084551642,583,0.42
245,black_peppercorns,6.766939893769864,742,0.53
246,salt olive_oil,6.764654178489008,1834,1.31
247,peas,6.762373675790283,416,0.3
248,ground_turmeric,6.757828213418608,10561,7.56
249,fresh_blueberries,6.755563206787756,382,0.27
250,butter vanilla,6.753303318820318,416,0.3
251,prepared_horseradish,6.753303318820318,968,0.69
252,salt cayenne_pepper,6.744314494251885,352,0.25
253,ground_cinnamon ground_nutmeg,6.744314494251885,567,0.41
254,dates,6.742079856450469,377,0.27
255,rice_wine_vinegar,6.742079856450469,327,0.23
256,pineapple,6.742079856450469,429,0.31
257,sage,6.7398502011231995,403,0.29
258,liquid_smoke,6.7398502011231995,981,0.7
259,cooking_oats,6.737625506101089,1803,1.29
260,quick cooking_oats,6.737625506101089,738,0.53
261,paprika salt,6.7354057493627755,1362,0.98
262,poultry_seasoning,6.7354057493627755,480,0.34
263,cloves,6.726575669914504,334,0.24
264,jalapenos,6.726575669914504,20287,14.53
265,dried_onion_flakes,6.722189697971249,526,0.38
266,rum,6.722189697971249,532,0.38
267,fresh_basil_leaf,6.722189697971249,849,0.61
268,american_cheese,6.720003904751269,1741,1.25
269,butternut_squash,6.717822878804909,369,0.26
270,salt flour,6.717822878804909,637,0.46
271,chopped_tomatoes,6.715646599382313,391,0.28
272,salt unsalted_butter,6.7134750458688055,991,0.71
273,cinnamon_sticks,6.7134750458688055,1222,0.88
274,carrot celery,6.7113081977837155,785,0.56
275,whole_kernel_corn,6.7113081977837155,380,0.27
276,brown_sugar salt,6.704835683278097,431,0.31
277,provolone_cheese,6.702687454739808,651,0.47
278,milk vanilla,6.700543831196557,1272,0.91
279,brown_sugar cinnamon,6.698404792947807,4455,3.19
280,oranges,6.6877777003735215,1387,0.99
281,lemon_juice salt,6.6877777003735215,356,0.25
282,cream_cheese sugar,6.6877777003735215,1098,0.79
283,cake_flour,6.685665767170377,407,0.29
284,yellow_cornmeal,6.683558284830813,331,0.24
285,vegetable_oil eggs,6.683558284830813,1614,1.16
286,onion green_bell_pepper,6.681455234634034,716,0.51
287,oats,6.679356597977113,484,0.35
288,semisweet_chocolate,6.671005818759693,685,0.49
289,eggplant,6.671005818759693,16330,11.69
290,garam_masala,6.666856435212881,2127,1.52
291,fresh_coarse_ground_black_pepper,6.666856435212881,1118,0.8
292,baking_potatoes,6.664788182148822,489,0.35
293,flaked_coconut,6.662724197927971,364,0.26
294,cumin_seed,6.658608965782864,798,0.57
295,roma_tomatoes,6.654510599390582,1808,1.29
296,sherry_wine,6.654510599390582,1263,0.9
297,olive_oil onions,6.652467697760782,1046,0.75
298,boneless_chicken_breasts,6.652467697760782,619,0.44
299,flour butter,6.652467697760782,2193,1.57
300,tortilla_chips,6.652467697760782,456,0.33
301,salt garlic_powder,6.652467697760782,403,0.29
302,jalapeno_peppers,6.650428961070934,441,0.32
303,milk sugar,6.648394372373146,799,0.57
304,onion_powder garlic_powder,6.644337571677531,2560,1.83
305,frozen_spinach,6.644337571677531,482,0.35
306,broccoli_florets,6.638283062768825,407,0.29
307,graham_cracker_crumbs,6.632264990443262,896,0.64
308,mozzarella_cheese parmesan_cheese,6.632264990443262,644,0.46
309,onion carrot,6.6302669877805895,2561,1.83
310,dill_weed,6.6302669877805895,402,0.29
